author,field
8R2H1LAAAAAJ,Neuroscience
lWjexuQAAAAJ,Neuroscience
_HD2h-gAAAAJ,Mathematics
iA8BzaoAAAAJ,Biochemistry Genetics and Molecular Biology
I3_igNUAAAAJ,Electrical and Electronic Engineering
cUX65NsAAAAJ,Agricultural and Biological Sciences
-b-tzzgAAAAJ,Agricultural and Biological Sciences
hjgJXSEAAAAJ,Agricultural and Biological Sciences
t2ZEe1MAAAAJ,Computer Science
00OfeX4AAAAJ,Computer Science
IcazmfEAAAAJ,Social Sciences
ILP0h40AAAAJ,Economics Econometrics and Finance
vxG8oc4AAAAJ,Agricultural and Biological Sciences
z6uGtv4AAAAJ,Health Professions
NIBYxpIAAAAJ,Health Professions
6ZmSKjcAAAAJ,Neuroscience
B9DU7cIAAAAJ,Agricultural and Biological Sciences
BByKtkUAAAAJ,Immunology and Microbiology
S8mtOroAAAAJ,Physics and Astronomy
-i0BbDgAAAAJ,Media Technology
eWMHaQcAAAAJ,Electrical and Electronic Engineering
FOfDj5gAAAAJ,Electrical and Electronic Engineering
GJc3JzMAAAAJ,Electrical and Electronic Engineering
GInxaQUAAAAJ,Computer Science
lkT2r3UAAAAJ,Physics and Astronomy
ceGQ1ooAAAAJ,Electrical and Electronic Engineering
5oUwcGYAAAAJ,Arts and Humanities
6RUayRoAAAAJ,Psychology
YySlI2oAAAAJ,Earth and Planetary Sciences
pHPMVQkAAAAJ,Computer Science
J9R-MZkAAAAJ,Computer Science
OKecIfAAAAAJ,Computer Science
c-x9ytwAAAAJ,Earth and Planetary Sciences
_CZQQZgAAAAJ,Earth and Planetary Sciences
paz29H4AAAAJ,Computer Science
vhU9_aEAAAAJ,Computer Science
paFR9XYAAAAJ,Computer Science
20ew2kUAAAAJ,Computer Science
xF9Mof4AAAAJ,Pharmacology Toxicology and Pharmaceutics
6627qGUAAAAJ,Computer Science
ycIwxqsAAAAJ,Computer Science
15K4f7oAAAAJ,Computer Science
WBdK5bAAAAAJ,Computer Science
goLa1gIAAAAJ,Chemical Engineering
P8Ntr1oAAAAJ,Business Management and Accounting
iQ17HxkAAAAJ,Materials Science
kGMW_ZcAAAAJ,Dentistry
lOEvh9oAAAAJ,Dentistry
9M6asXEAAAAJ,Media Technology
BVmnUEMAAAAJ,Computer Science
lx5ISykAAAAJ,Arts and Humanities
Redr2DYAAAAJ,Arts and Humanities
MpxV6kIAAAAJ,Chemical Engineering
lsIB6jkAAAAJ,Pharmacology Toxicology and Pharmaceutics
7VU50uQAAAAJ,Physics and Astronomy
XOqiOE0AAAAJ,Chemistry
hqTNZcMAAAAJ,Physics and Astronomy
953mB8MAAAAJ,Energy
pmewxdIAAAAJ,Materials Science
vPiYS0UAAAAJ,Materials Science
cx6B-cUAAAAJ,Physics and Astronomy
41juELQAAAAJ,Materials Science
Cp0mfk0AAAAJ,Physics and Astronomy
AzKCpZoAAAAJ,Computer Science
7zYfAVoAAAAJ,Physics and Astronomy
7_4rt1wAAAAJ,Physics and Astronomy
jNumE2gAAAAJ,Physics and Astronomy
YPBNyA4AAAAJ,Economics Econometrics and Finance
jF-6ARMAAAAJ,Computer Science
wzH0c00AAAAJ,Physics and Astronomy
vK1XhWMAAAAJ,Chemical Engineering
_SqUc8wAAAAJ,Immunology and Microbiology
hDrkjr0AAAAJ,Chemical Engineering
8vuc6rIAAAAJ,Agricultural and Biological Sciences
HAiWj9AAAAAJ,Electrical and Electronic Engineering
KvOkV30AAAAJ,Neuroscience
q4sarjoAAAAJ,Computer Science
Wx4ptTIAAAAJ,Physics and Astronomy
aQhDgGEAAAAJ,Neuroscience
YZ-5C8EAAAAJ,Arts and Humanities
UHkodEQAAAAJ,Neuroscience
NqYcEnEAAAAJ,Computer Science
YBwfbEQAAAAJ,Computer Science
1ksNBpsAAAAJ,Physics and Astronomy
oHRPDwcAAAAJ,Social Sciences
VNpZfu0AAAAJ,Energy
P9JQOi8AAAAJ,Agricultural and Biological Sciences
T5gUScQAAAAJ,Computer Science
-RtoeJYAAAAJ,Mathematics
xUCnNRsAAAAJ,Social Sciences
Z3jU6mQAAAAJ,Computer Science
GwNIARcAAAAJ,Business Management and Accounting
xZK7tQYAAAAJ,Agricultural and Biological Sciences
rJLevJAAAAAJ,
vMSe7LkAAAAJ,Physics and Astronomy
cPWyRk8AAAAJ,Computer Science
2O0vLx8AAAAJ,Medicine
e0In0ogAAAAJ,Computer Science
BEdAPmUAAAAJ,Physics and Astronomy
H_ICOW4AAAAJ,Control and Systems Engineering
nyUoJk0AAAAJ,Computer Science
zv9seLwAAAAJ,Materials Science
zPKz1b0AAAAJ,Electrical and Electronic Engineering
qR2p8-0AAAAJ,Computer Science
rcW8mi0AAAAJ,Computer Science
B-4nchgAAAAJ,Computer Science
KJs3XswAAAAJ,Computer Science
BjO8kXQAAAAJ,Agricultural and Biological Sciences
k6JrBF8AAAAJ,Computer Science
vyrC0lwAAAAJ,Building and Construction
WOizM1MAAAAJ,Materials Science
-JAkXiMAAAAJ,Neuroscience
_WR8CLcAAAAJ,Media Technology
vdegcWUAAAAJ,Computer Science
Il4YCsQAAAAJ,Physics and Astronomy
jXChpn8AAAAJ,Physics and Astronomy
ThG-tbcAAAAJ,Arts and Humanities
aUyYqMMAAAAJ,Energy
hPuNmE8AAAAJ,Health Professions
eAfkDsYAAAAJ,Physics and Astronomy
q3grgWUAAAAJ,Environmental Science
eXeLMngAAAAJ,Agricultural and Biological Sciences
JNgRAf8AAAAJ,Computer Science
VjlCVaoAAAAJ,Earth and Planetary Sciences
RzIjQ64AAAAJ,Computer Science
meNutdAAAAAJ,Physics and Astronomy
lWDzCIkAAAAJ,Computer Science
eJ9kV2QAAAAJ,Computer Science
jR-40QMAAAAJ,Computer Science
ilptBWsAAAAJ,Computer Science
jnCeP5YAAAAJ,Computer Science
tgltVIkAAAAJ,Electrical and Electronic Engineering
sHCYbNQAAAAJ,Agricultural and Biological Sciences
MoVjJmoAAAAJ,Social Sciences
vnySdRwAAAAJ,Biochemistry Genetics and Molecular Biology
1gf1OswAAAAJ,Pharmacology Toxicology and Pharmaceutics
3or7PZEAAAAJ,Physics and Astronomy
l4XuJl0AAAAJ,Computer Science
vYLx5DUAAAAJ,Electrical and Electronic Engineering
fORvrd8AAAAJ,Psychology
38PlhkcAAAAJ,Agricultural and Biological Sciences
e8VJ6fEAAAAJ,Physics and Astronomy
8YU1-hwAAAAJ,Immunology and Microbiology
FvQgWFsAAAAJ,Energy
YbzI-g4AAAAJ,Physics and Astronomy
Fd2Y6s8AAAAJ,Energy
tRq58eYAAAAJ,Computer Science
w36OMOwAAAAJ,Medicine
mOUKztYAAAAJ,Agricultural and Biological Sciences
1NvBj_gAAAAJ,Computer Science
ndU6iOgAAAAJ,Energy
th7m0eAAAAAJ,Mathematics
J01jCZMAAAAJ,Electrical and Electronic Engineering
YESiQv4AAAAJ,Computer Science
PpRDLgcAAAAJ,Computer Science
dU7U7-0AAAAJ,Mechanical Engineering
UrHxqS4AAAAJ,Social Sciences
c61zP0UAAAAJ,Mathematics
FCufgjUAAAAJ,Biochemistry Genetics and Molecular Biology
Jog_ShUAAAAJ,Electrical and Electronic Engineering
Lh5KX50AAAAJ,Agricultural and Biological Sciences
yjyylm8AAAAJ,Physics and Astronomy
IF9iMGIAAAAJ,Mechanical Engineering
mjpveg8AAAAJ,Energy
s8i7LaAAAAAJ,Civil and Structural Engineering
ABnt4RQAAAAJ,Computer Science
5x2lr20AAAAJ,Computer Science
ZgdmrbQAAAAJ,Biochemistry Genetics and Molecular Biology
YVGApnUAAAAJ,Earth and Planetary Sciences
BUwMtQQAAAAJ,Computer Science
HxO0UHYAAAAJ,Agricultural and Biological Sciences
kA_LLAQAAAAJ,Computer Science
jDtNbekAAAAJ,Social Sciences
KuOZZSAAAAAJ,Chemical Engineering
b8ihZ-oAAAAJ,Computer Science
VX3Laf8AAAAJ,Biochemistry Genetics and Molecular Biology
PWp9YUUAAAAJ,Mathematics
c4OlbnYAAAAJ,Pharmacology Toxicology and Pharmaceutics
09ZOjFQAAAAJ,Electrical and Electronic Engineering
RCUIPgMAAAAJ,Computer Science
mAcmGtcAAAAJ,Arts and Humanities
gAAM0ecAAAAJ,Biochemistry Genetics and Molecular Biology
5_2cPNEAAAAJ,Agricultural and Biological Sciences
apQN670AAAAJ,Computer Science
id96GvIAAAAJ,Computer Science
sGAKnroAAAAJ,Computer Science
vKP1mmIAAAAJ,Building and Construction
XPctSoUAAAAJ,Agricultural and Biological Sciences
LW1gNSsAAAAJ,Computer Science
SKztjfoAAAAJ,Agricultural and Biological Sciences
3A_h6-sAAAAJ,Physics and Astronomy
s7YB-J4AAAAJ,Engineering (miscellaneous)
pcxnD7MAAAAJ,Computer Science
ZjDFiYsAAAAJ,Computer Science
G40_W5YAAAAJ,Computer Science
ANbNbjYAAAAJ,Computer Science
MBAmAvMAAAAJ,Biochemistry Genetics and Molecular Biology
4EvK0dsAAAAJ,Social Sciences
yXKZnXwAAAAJ,Electrical and Electronic Engineering
wZBonZkAAAAJ,
1gERmtMAAAAJ,Social Sciences
jsmHzCAAAAAJ,Computer Science
mOZcOgMAAAAJ,Computer Science
dAR7P3IAAAAJ,Computer Science
3CrbFjIAAAAJ,Social Sciences
qWEmpwEAAAAJ,Chemistry
Mw-kt0gAAAAJ,Physics and Astronomy
oHLjQTEAAAAJ,Computer Science
P2gll_wAAAAJ,
rgJfjgwAAAAJ,Economics Econometrics and Finance
O-1gFdUAAAAJ,Computer Science
8VPWdSMAAAAJ,Arts and Humanities
y10KTqwAAAAJ,Computer Science
sw7Fg2IAAAAJ,Computer Science
B8mVeMMAAAAJ,Environmental Science
nUvlCg0AAAAJ,Materials Science
czMNSa8AAAAJ,Arts and Humanities
JhvA0vcAAAAJ,Neuroscience
RPW-1MwAAAAJ,Computer Science
pCV2bLAAAAAJ,Agricultural and Biological Sciences
Cr0_dMoAAAAJ,
TiMU6goAAAAJ,Business Management and Accounting
i4knu3wAAAAJ,Computer Science
3MRRFEAAAAAJ,Computer Science
4vlYpiYAAAAJ,Computer Science
b0EptEUAAAAJ,
-9smtb4AAAAJ,Computer Science
cXz0y-EAAAAJ,Neuroscience
VpejDOMAAAAJ,
y7hBNpUAAAAJ,Agricultural and Biological Sciences
8P_yMLMAAAAJ,Social Sciences
h2y93zoAAAAJ,Computer Science
q1mfIKMAAAAJ,Electrical and Electronic Engineering
Kv1hYTwAAAAJ,Computer Science
u2lhZd8AAAAJ,Computer Science
m18d-jwAAAAJ,Mechanical Engineering
NotNGQUAAAAJ,Social Sciences
aOHoWTAAAAAJ,Mathematics
PJ6pYUwAAAAJ,Computer Science
7X9FrAgAAAAJ,Physics and Astronomy
NzwC_FQAAAAJ,Social Sciences
LD8BwmAAAAAJ,
VUj1ZWoAAAAJ,Computer Science
UAePgqQAAAAJ,Arts and Humanities
V7WdCcsAAAAJ,Medicine
TB1-6lsAAAAJ,
k9x_YsQAAAAJ,Social Sciences
wYIzhN8AAAAJ,Computer Science
ioGHA6EAAAAJ,Agricultural and Biological Sciences
7p7WZZoAAAAJ,Arts and Humanities
rU_6fE0AAAAJ,Social Sciences
9a6_KPgAAAAJ,Computer Science
TJSSe0IAAAAJ,Economics Econometrics and Finance
--uDCpYAAAAJ,Computer Science
sPOH-1MAAAAJ,Arts and Humanities
BTwJNiMAAAAJ,Computer Science
tkbxHjsAAAAJ,Social Sciences
OkD0HC0AAAAJ,Physics and Astronomy
Rt4EgIQAAAAJ,Physics and Astronomy
y6sm7j8AAAAJ,Computer Science
rg5k548AAAAJ,Computer Science
HOiu9KkAAAAJ,Computer Science
Nd47tEQAAAAJ,Computer Science
poN-Aa8AAAAJ,Electrical and Electronic Engineering
eaay_HwAAAAJ,Energy
ISfYAZIAAAAJ,Energy
-SmjQhAAAAAJ,Electrical and Electronic Engineering
cue0EzIAAAAJ,Energy
LUIfqOoAAAAJ,Immunology and Microbiology
1dEhBVwAAAAJ,Social Sciences
ufMGQ3MAAAAJ,Psychology
cYugRuUAAAAJ,Mechanics of Materials
rbBIGUkAAAAJ,Computer Science
7ubqAOIAAAAJ,Computer Science
NVzn5GQAAAAJ,Industrial and Manufacturing Engineering
dc2IWLkAAAAJ,Social Sciences
hEqmxx8AAAAJ,Economics Econometrics and Finance
