,source_id,target_id,field,university_id,Citations_all,h-index_all,country,gender
178,FOfDj5gAAAAJ,GInxaQUAAAAJ,Electrical and Electronic Engineering,1.6426439725827928e+19,549.0,12.0,IT,female
179,FOfDj5gAAAAJ,GJc3JzMAAAAJ,Electrical and Electronic Engineering,1.6426439725827928e+19,549.0,12.0,IT,female
180,FOfDj5gAAAAJ,NqYcEnEAAAAJ,Electrical and Electronic Engineering,1.6426439725827928e+19,549.0,12.0,IT,female
181,GJc3JzMAAAAJ,Jog_ShUAAAAJ,Electrical and Electronic Engineering,,,,,
182,GJc3JzMAAAAJ,FOfDj5gAAAAJ,Electrical and Electronic Engineering,,,,,
183,GInxaQUAAAAJ,cPWyRk8AAAAJ,Computer Science,1.219643828195156e+19,2843.0,28.0,IT,male
184,GInxaQUAAAAJ,BTwJNiMAAAAJ,Computer Science,1.219643828195156e+19,2843.0,28.0,IT,male
185,GInxaQUAAAAJ,q4sarjoAAAAJ,Computer Science,1.219643828195156e+19,2843.0,28.0,IT,male
186,GInxaQUAAAAJ,eWMHaQcAAAAJ,Computer Science,1.219643828195156e+19,2843.0,28.0,IT,male
187,GInxaQUAAAAJ,_WR8CLcAAAAJ,Computer Science,1.219643828195156e+19,2843.0,28.0,IT,male
188,GInxaQUAAAAJ,pcxnD7MAAAAJ,Computer Science,1.219643828195156e+19,2843.0,28.0,IT,male
189,lkT2r3UAAAAJ,ceGQ1ooAAAAJ,Physics and Astronomy,9.514602619305155e+18,2448.0,24.0,AR,male
190,lkT2r3UAAAAJ,B-4nchgAAAAJ,Physics and Astronomy,9.514602619305155e+18,2448.0,24.0,AR,male
191,lkT2r3UAAAAJ,ABnt4RQAAAAJ,Physics and Astronomy,9.514602619305155e+18,2448.0,24.0,AR,male
192,lkT2r3UAAAAJ,S8mtOroAAAAJ,Physics and Astronomy,9.514602619305155e+18,2448.0,24.0,AR,male
193,lkT2r3UAAAAJ,5x2lr20AAAAJ,Physics and Astronomy,9.514602619305155e+18,2448.0,24.0,AR,male
194,lkT2r3UAAAAJ,MoVjJmoAAAAJ,Physics and Astronomy,9.514602619305155e+18,2448.0,24.0,AR,male
195,lkT2r3UAAAAJ,tgltVIkAAAAJ,Physics and Astronomy,9.514602619305155e+18,2448.0,24.0,AR,male
196,ceGQ1ooAAAAJ,ABnt4RQAAAAJ,Electrical and Electronic Engineering,1.4921947376011735e+19,3904.0,29.0,IT,male
197,ceGQ1ooAAAAJ,lkT2r3UAAAAJ,Electrical and Electronic Engineering,1.4921947376011735e+19,3904.0,29.0,IT,male
198,ceGQ1ooAAAAJ,yXKZnXwAAAAJ,Electrical and Electronic Engineering,1.4921947376011735e+19,3904.0,29.0,IT,male
199,ceGQ1ooAAAAJ,S8mtOroAAAAJ,Electrical and Electronic Engineering,1.4921947376011735e+19,3904.0,29.0,IT,male
